epoch,accuracy,precision,recall,f1
1,0.8169052488070893,0.8225941422594142,0.8066192560175055,0.814528380058003
2,0.8215405589638718,0.8418293038159045,0.7904814004376368,0.8153477218225421
3,0.8214042263122018,0.8351428571428572,0.7995076586433261,0.8169368362213527
4,0.8264485344239946,0.8424834722621443,0.8016958424507659,0.8215837421163279
5,0.8384458077709611,0.8637032675890491,0.8025164113785558,0.8319863887707358
6,0.830811179277437,0.8537943158511574,0.7970459518599562,0.8244447588060546
7,0.8257668711656442,0.8385535307517085,0.8055251641137856,0.8217075892857143
8,0.8703476482617587,0.9389808503732554,0.7913019693654267,0.8588392459551729
9,0.8552147239263803,0.8956680902989628,0.8030634573304157,0.8468416498413613
10,0.8342194955691888,0.8536231884057971,0.8055251641137856,0.8288770053475936
11,0.8539877300613496,0.8929765886287625,0.8033369803063457,0.8457883369330452
12,0.8766189502385822,0.9953186892329853,0.7560175054704595,0.8593191357065134
13,0.8797546012269939,0.954158480681074,0.7970459518599562,0.8685543964232488
14,0.8651670074982959,0.9171097904285267,0.8019693654266958,0.8556836422004961
15,0.8519427402862986,0.8891580860084797,0.8030634573304157,0.8439206668582926
16,0.8809815950920246,0.953405017921147,0.800328227571116,0.8701858736059479
17,0.8830265848670756,0.9641672196416722,0.7948577680525164,0.8713643178410795
18,0.8819359236537151,0.9709655638082377,0.7866520787746171,0.8691447567240859
19,0.8864349011588275,0.9712854757929883,0.7956783369803063,0.8747556758382198
20,0.8842535787321063,0.960919540229885,0.800328227571116,0.8733024921653484
21,0.8819359236537151,0.9640718562874252,0.7926695842450766,0.870009006304413
22,0.8809815950920246,0.953405017921147,0.800328227571116,0.8701858736059479
23,0.8733469665985003,0.9349282296650717,0.8016958424507659,0.8632012958327197
24,0.8719836400817996,0.9325055714740529,0.8011487964989059,0.8618508165367074
25,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
26,0.8857532379004772,0.978275627970129,0.7882932166301969,0.8730687670402908
27,0.8841172460804363,0.9642620780939775,0.7970459518599562,0.8727163821503444
28,0.8594410361281527,0.9049676025917927,0.8022428884026258,0.8505147165434247
29,0.87280163599182,0.9337368588722523,0.8016958424507659,0.8626931567328919
30,0.892569870483981,0.9944827586206897,0.7888402625820569,0.8798047589993899
31,0.874437627811861,0.9381608458827299,0.8008752735229759,0.864099158919876
32,0.8882072256305386,0.9879559532002753,0.7852844638949672,0.8750380981408108
33,0.8895705521472392,0.9843430905377808,0.7910284463894968,0.8771610555050046
34,0.8639400136332651,0.9145352464129757,0.8019693654266958,0.8545613523754008
35,0.8856169052488071,0.9718592964824121,0.7934901531728665,0.8736636048787834
36,0.8822085889570552,0.9577049180327869,0.7989606126914661,0.8711601550849986
37,0.8847989093387867,0.9721195834732953,0.7915754923413567,0.8726066636514398
38,0.8842535787321063,0.9954112248499823,0.7713347921225383,0.8691631992602866
39,0.8846625766871166,0.9643093192333113,0.7981400437636762,0.8733912002394493
40,0.885344239945467,0.9649818301949125,0.7989606126914661,0.8741583121352686
41,0.8902522154055896,0.9954814042405283,0.7833698030634574,0.8767794275218124
42,0.8869802317655079,0.9713237745915305,0.7967724288840262,0.8754320060105184
43,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
44,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
45,0.8921608725289707,0.9870792247534852,0.7940371991247265,0.880097013794149
46,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
47,0.8906612133605999,0.979502688172043,0.7973194748358862,0.879071170084439
48,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
49,0.8895705521472392,0.9843430905377808,0.7910284463894968,0.8771610555050046
50,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
51,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
52,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
53,0.8869802317655079,0.9713237745915305,0.7967724288840262,0.8754320060105184
54,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
55,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
56,0.8869802317655079,0.9713237745915305,0.7967724288840262,0.8754320060105184
57,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
58,0.8869802317655079,0.9713237745915305,0.7967724288840262,0.8754320060105184
59,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
60,0.8869802317655079,0.9713237745915305,0.7967724288840262,0.8754320060105184
61,0.8921608725289707,0.9870792247534852,0.7940371991247265,0.880097013794149
62,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
63,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
64,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
65,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
66,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
67,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
68,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
69,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
70,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
71,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
72,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
73,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
74,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
75,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
76,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
77,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
78,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
79,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
80,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
81,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
82,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
83,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
84,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
85,0.8898432174505794,0.9880054832076764,0.7885667396061269,0.8770915728627928
86,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
87,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
88,0.8928425357873211,0.9867706919945726,0.7956783369803063,0.8809812235009086
89,0.8920245398773006,0.9870748299319728,0.7937636761487965,0.8799272286234081
90,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
91,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
92,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
93,0.8928425357873211,0.9867706919945726,0.7956783369803063,0.8809812235009086
94,0.8928425357873211,0.9867706919945726,0.7956783369803063,0.8809812235009086
95,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
96,0.8876618950238582,0.9710578842315369,0.7984135667396062,0.8763134193935755
97,0.8907975460122699,0.9968673860076575,0.7833698030634574,0.8773165875325472
98,0.8865712338104976,0.9678595096090126,0.7989606126914661,0.8753371291579263
99,0.8877982276755283,0.9710675091453276,0.7986870897155361,0.8764820651358247
100,0.8929788684389911,0.9867751780264497,0.7959518599562363,0.8811506434519304
